Media,Event,Time Interval,Sample URLs,Relatedness (crowd),Relatedness (authors),Primary Type (or trigger),Primary Sub-type (or action),Secondary Type (or trigger),Secondary Sub-type (or action),Negativity,Magnitude,Predictability,Elite persons,Conflict,Unexpectedness
Twitter,"Outdoor air pollution, largely from burning coal, kills 4 million people a year",23 September 2014,https://twitter.com/TheEconomist/status/514202580835368960/photo/1   http://www.economist.com/news/briefing/21618682-policies-slow-down-warming-may-be-more-attractive-if-framed-ways-speeding-up-growth-try?fsrc=scn/tw/te/pe/ed/tryjamtoday,related to climate change,yes (related to climate change),media,publication/studies/research  [media],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,60 new species discovered in Suriname,04 October 2013,http://news.nationalpost.com/2013/10/04/suriname-expedition-braves-remote-river-rapids-to-find-up-to-60-new-species-including-spectacular-cocoa-frog-and-lilliputian-beetle/   http://www.cbsnews.com/news/60-possible-new-species-discovered-in-suriname-forest/,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Satellite maps show polar ice caps melting at 'unprecedented rate',22 August-02 September 2014,http://newsbusters.org/blogs/tom-blumer/2014/08/30/arctic-ice-cap-expands-41-percent-two-years-al-gore-thought-it-might-be-   http://www.theguardian.com/environment/2014/sep/01/new-satellite-maps-show-polar-ice-caps-melting-at-unprecedented-rate,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Viral Joke about usefulness,02 September 2013-31 July 2014,https://twitter.com/QuoteTheFun/status/551544423121948672,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Two pictures on global warming,24 September 2014,https://twitter.com/Brilliant_Ads/status/367360454961549312/photo/1   https://twitter.com/SciencePorn/status/514758189955686400/photo/1,related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Report: US hottest spots of warming Northeast/Southwest,04 June 2014,http://www.cbsnews.com/news/northeast-southwest-states-are-united-states-fastest-warming-spots/   http://www.huffingtonpost.com/2014/06/04/hottest-spots-warming_n_5446543.html?utm_hp_ref=los-angeles&ir=Los+Angeles,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Recovery knocks 21 fish species from watch list,03 September 2014,http://www.utsandiego.com/news/2014/sep/03/recovery-knocks-21-fish-species-from-watch-list/   http://news.yahoo.com/nearly-two-dozen-fish-species-off-u-west-054521587.html,weakly related to climate change,no (not related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],disaster,human-induced hazards  [disaster],this is good news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Mexico Floods (Ingrid+Manuel Hurricanes),17-19 September 2013,http://www.bbc.com/news/world-latin-america-24292176   http://news.nationalgeographic.com/news/2013/09/pictures/130919-mexico-hurricane-ingrid-manuel-floods-disaster-weather-science/   http://www.huffingtonpost.com/2013/09/17/hurricane-ingrid-death-toll_n_3941901.html   http://en.wikipedia.org/wiki/Hurricane_Manuel,not related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Zimbabwe man fistfights crocodile to save son,27 December 2013,http://www.foxnews.com/world/2013/12/27/zimbabwean-villager-fistfights-crocodile-to-save-child-says-local-media/   http://www.independent.ie/world-news/and-finally/father-fights-crocodile-to-save-son-29870098.html,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is good news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Thai Oil spill,30 July 2013,http://thediplomat.com/2013/08/oil-spill-disasters-strike-thailand-and-the-philippines/   http://en.wikipedia.org/wiki/Rayong_oil_spill   http://sg.finance.yahoo.com/news/thai-firm-understating-oil-slick-092538884.html   http://www.huffingtonpost.com/2013/08/01/global-chemical-thailand_n_3688297.html,weakly related to climate change,borderline (weakly related to climate change),disaster,human-induced hazards  [disaster],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,(Australia) Abbott's plan to abolish carbon tax/Elections,02-09 September 2013,http://www.liberal.org.au/our-plan-abolish-carbon-tax   http://www.theguardian.com/world/2013/sep/05/tony-abbott-direct-action-no-modelling?CMP=twt_gu,weakly related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
